,loss
0,12.133179200235501
1,11.79606404188522
2,11.61382563642814
3,11.514961143433466
4,11.460580373891968
5,11.436413825256814
6,11.424755754441795
7,11.415220410246798
8,11.408603239832203
9,11.404487617718267
10,11.40186483640438
11,11.399943862915311
12,11.39820917685629
13,11.396826807106903
14,11.395503402321149
15,11.394139273436737
16,11.392989335357603
17,11.391890355873587
18,11.390659905550173
19,11.389609912065998
20,11.388542402297361
21,11.387602624671958
22,11.386566894180667
23,11.385545425856577
24,11.384750863292929
25,11.383638560304655
26,11.382981494433341
27,11.382219013212547
28,11.381569706813725
29,11.380969599183041
30,11.380347959891514
31,11.379888325661787
32,11.37940628197944
33,11.378860456461746
34,11.3786054409041
35,11.378519490703269
36,11.377911131856282
37,11.377795961030976
38,11.37739588961276
39,11.377188199693219
40,11.376888897479427
41,11.376717791290343
42,11.376570009595781
43,11.37621630965574
44,11.376204606854916
45,11.375877463422087
46,11.375891546262897
47,11.375660515171898
48,11.375422843395734
49,11.375676661574309
50,11.3748502220593
51,11.374881351688034
52,11.374781992163113
53,11.374511020362709
54,11.374247964476373
55,11.374514438498936
56,11.3741016701791
57,11.373986648301043
58,11.373862519959651
59,11.373744903523974
60,11.37338062528206
61,11.373282281821226
62,11.373111710373193
63,11.372865089469109
64,11.372895969744652
65,11.372770352209777
66,11.372646553654949
67,11.372319584481534
68,11.372255067777658
69,11.372125794192934
70,11.37176668056345
71,11.372022834253388
72,11.3718392572207
73,11.37154665948046
74,11.37157776443386
75,11.371669999645347
76,11.371372252706596
77,11.371312275732034
78,11.37122846193885
79,11.371185249907043
80,11.370930548726301
81,11.370889359306375
82,11.370664954075176
83,11.370561079630455
84,11.370441067084874
85,11.37022000188022
86,11.370041438620673
87,11.370186978435383
88,11.369928011279804
89,11.37009052711941
90,11.369850582555335
91,11.369787589354416
92,11.369711479989192
93,11.369625934101443
94,11.369490721618131
95,11.36941807018588
96,11.369504441098421
97,11.369191257557848
98,11.369109007103416
99,11.368930541000324
100,11.369244340707137
101,11.368869060607542
102,11.368780758848148
103,11.368547162241105
104,11.368779948528024
105,11.368613129902919
106,11.368532425893058
107,11.368671817127785
108,11.36839795615101
109,11.368743580916158
110,11.368192548742268
111,11.3680890557748
112,11.36824723583144
113,11.368066136987007
114,11.367833171478772
115,11.367898843084879
116,11.368007672920687
117,11.367727108747578
118,11.36758844547419
119,11.367593622652892
120,11.367484553454437
121,11.367368584266137
122,11.367376895757952
