,loss
0,10.933504104614258
1,9.077348709106445
2,8.311469078063965
3,7.859334468841553
4,7.534101963043213
5,7.290279388427734
6,7.098670959472656
7,6.942327499389648
8,6.808962345123291
9,6.690053939819336
10,6.5802788734436035
11,6.481366157531738
12,6.3915863037109375
13,6.311735153198242
14,6.238181114196777
15,6.171369552612305
16,6.108643531799316
17,6.051003456115723
18,5.995850086212158
19,5.945633411407471
20,5.895804405212402
21,5.8482346534729
22,5.804049968719482
23,5.7617878913879395
24,5.722794055938721
25,5.684096813201904
26,5.64816951751709
27,5.613457202911377
28,5.578757286071777
29,5.544979095458984
30,5.51270055770874
31,5.480679512023926
32,5.447804927825928
33,5.416028022766113
34,5.384403228759766
35,5.35394811630249
36,5.325395107269287
37,5.296566963195801
38,5.269644737243652
39,5.243465900421143
40,5.219070911407471
41,5.193739891052246
42,5.170024871826172
43,5.147030830383301
44,5.1242499351501465
45,5.102434158325195
46,5.080712795257568
47,5.059223651885986
48,5.03835916519165
49,5.017786979675293
50,4.997355937957764
51,4.9779133796691895
52,4.959178447723389
53,4.941543102264404
54,4.922640800476074
55,4.903733253479004
56,4.885794162750244
57,4.869189739227295
58,4.852288722991943
59,4.83635139465332
60,4.821530342102051
61,4.806156635284424
62,4.792030334472656
63,4.777506351470947
64,4.763867378234863
65,4.750331878662109
66,4.7372307777404785
67,4.724806785583496
68,4.712220668792725
69,4.70062255859375
70,4.6883697509765625
71,4.677379608154297
72,4.666114807128906
73,4.65479040145874
74,4.644970893859863
75,4.634283065795898
76,4.623218536376953
77,4.612486839294434
78,4.60198450088501
79,4.592235088348389
80,4.583089828491211
81,4.573248863220215
82,4.564098358154297
83,4.5538153648376465
84,4.544663429260254
85,4.535892009735107
86,4.526660919189453
87,4.51729679107666
88,4.508529186248779
89,4.500235557556152
90,4.4917426109313965
91,4.483251094818115
92,4.475348472595215
93,4.467347145080566
94,4.45896053314209
95,4.450830459594727
96,4.442723751068115
97,4.4337592124938965
98,4.425008296966553
99,4.415902137756348
100,4.407979488372803
101,4.400353908538818
102,4.392673969268799
103,4.385288238525391
104,4.377490520477295
105,4.3697829246521
106,4.362685203552246
107,4.355698108673096
108,4.349143981933594
109,4.342301368713379
110,4.335043430328369
111,4.328226566314697
112,4.321640968322754
113,4.315723419189453
114,4.309299468994141
115,4.303614139556885
116,4.29658317565918
117,4.291471481323242
118,4.286155700683594
119,4.279475688934326
120,4.274459362030029
121,4.268698692321777
