,loss
0,11.725351333618164
1,10.800420761108398
2,10.262033462524414
3,9.855828285217285
4,9.548121452331543
5,9.339735984802246
6,9.188764572143555
7,9.063217163085938
8,8.953736305236816
9,8.868106842041016
10,8.793206214904785
11,8.7280855178833
12,8.670557975769043
13,8.61740779876709
14,8.571925163269043
15,8.533319473266602
16,8.498734474182129
17,8.466486930847168
18,8.435998916625977
19,8.40738582611084
20,8.381880760192871
21,8.359012603759766
22,8.338462829589844
23,8.31969928741455
24,8.301733016967773
25,8.284411430358887
26,8.268081665039062
27,8.252725601196289
28,8.239548683166504
29,8.224846839904785
30,8.212339401245117
31,8.200324058532715
32,8.188407897949219
33,8.177874565124512
34,8.168496131896973
35,8.159244537353516
36,8.150171279907227
37,8.14159870147705
38,8.133437156677246
39,8.124529838562012
40,8.112011909484863
41,8.10150146484375
42,8.092148780822754
43,8.084163665771484
44,8.076752662658691
45,8.06845474243164
46,8.059823989868164
47,8.050999641418457
48,8.039458274841309
49,8.028746604919434
50,8.016372680664062
51,8.005945205688477
52,7.996700763702393
53,7.987259387969971
54,7.978114128112793
55,7.9698309898376465
56,7.961415767669678
57,7.953707695007324
58,7.946461200714111
59,7.937808513641357
60,7.930054664611816
61,7.92329740524292
62,7.916880130767822
63,7.9112868309021
64,7.906032562255859
65,7.901517391204834
66,7.896705627441406
67,7.8917388916015625
68,7.887261867523193
69,7.883370399475098
70,7.878720283508301
71,7.874959468841553
72,7.871139049530029
73,7.867803573608398
74,7.863870143890381
75,7.860185146331787
76,7.856069564819336
77,7.852445602416992
78,7.849488258361816
79,7.845890522003174
80,7.842208385467529
81,7.838741302490234
82,7.835291862487793
83,7.832840919494629
84,7.829552173614502
85,7.827076435089111
86,7.823668956756592
87,7.821065902709961
88,7.818637371063232
89,7.814992427825928
90,7.812306880950928
91,7.810391902923584
92,7.807840824127197
93,7.804844856262207
94,7.8025946617126465
95,7.800044536590576
96,7.798574447631836
97,7.79464864730835
98,7.7932281494140625
99,7.79002046585083
100,7.787442207336426
101,7.7851433753967285
102,7.782754421234131
103,7.780152320861816
104,7.777120113372803
105,7.775380611419678
106,7.773320198059082
107,7.7707343101501465
108,7.76914644241333
109,7.766297817230225
110,7.7644147872924805
111,7.762181282043457
112,7.759746551513672
113,7.758042812347412
114,7.756505012512207
115,7.754205703735352
116,7.751804351806641
117,7.749887466430664
118,7.74787712097168
119,7.746638774871826
120,7.7442240715026855
121,7.741966247558594
122,7.740166187286377
123,7.738397121429443
124,7.736210823059082
125,7.734358310699463
126,7.732792377471924
127,7.730950355529785
128,7.729221343994141
129,7.727288722991943
130,7.725002765655518
131,7.723532199859619
132,7.721884727478027
133,7.71990442276001
134,7.718898773193359
135,7.716738224029541
136,7.715210437774658
137,7.712519645690918
138,7.709883689880371
139,7.708708763122559
140,7.707008361816406
141,7.704885482788086
142,7.703101634979248
143,7.701352119445801
144,7.699497699737549
145,7.6984357833862305
146,7.6966118812561035
147,7.694296360015869
148,7.693109035491943
149,7.692336082458496
150,7.6900553703308105
151,7.6888556480407715
152,7.687098026275635
153,7.685820579528809
154,7.684380531311035
155,7.683175086975098
156,7.6818013191223145
157,7.679878234863281
158,7.679293155670166
159,7.67761754989624
160,7.6755595207214355
161,7.674789905548096
162,7.673205375671387
163,7.672051906585693
164,7.670292854309082
165,7.669468879699707
166,7.668320178985596
167,7.666909217834473
168,7.665197372436523
169,7.663845539093018
170,7.663026809692383
171,7.661025047302246
172,7.660203456878662
173,7.658351421356201
174,7.656839847564697
175,7.656304359436035
176,7.654669284820557
177,7.653071403503418
178,7.651505470275879
179,7.6503095626831055
180,7.648940086364746
181,7.647807598114014
182,7.64656925201416
183,7.644215106964111
184,7.64255428314209
185,7.641164779663086
186,7.640051364898682
187,7.639578819274902
188,7.637279987335205
189,7.63694953918457
190,7.635396957397461
