,loss
0,12.21741008758545
1,10.321357727050781
2,9.24655532836914
3,8.606672286987305
4,8.172510147094727
5,7.842715740203857
6,7.571939945220947
7,7.339851379394531
8,7.134056568145752
9,6.949668884277344
10,6.781167030334473
11,6.617445945739746
12,6.469131946563721
13,6.326761245727539
14,6.190401554107666
15,6.063797473907471
16,5.940536975860596
17,5.8282294273376465
18,5.7209882736206055
19,5.618722915649414
20,5.523401737213135
21,5.429423809051514
22,5.339110374450684
23,5.254970550537109
24,5.173751354217529
25,5.09416389465332
26,5.019960403442383
27,4.948845863342285
28,4.8825554847717285
29,4.8183159828186035
30,4.754672527313232
31,4.697500228881836
32,4.640324115753174
33,4.584555625915527
34,4.532639026641846
35,4.482117176055908
36,4.436126232147217
37,4.388251781463623
38,4.343790054321289
39,4.299795627593994
40,4.258272647857666
41,4.220373630523682
42,4.1825852394104
43,4.148564338684082
44,4.112308979034424
45,4.083675384521484
46,4.050528049468994
47,4.020910739898682
48,3.992293119430542
49,3.9659833908081055
50,3.9400951862335205
51,3.9153900146484375
52,3.8931119441986084
53,3.8702452182769775
54,3.848254919052124
55,3.830024242401123
56,3.8098738193511963
57,3.7916648387908936
58,3.772944211959839
59,3.7556676864624023
60,3.738778829574585
61,3.7226648330688477
62,3.706463098526001
63,3.691096305847168
64,3.675893545150757
65,3.66214656829834
66,3.649562120437622
67,3.637784957885742
68,3.6254754066467285
69,3.6146533489227295
70,3.603559732437134
71,3.5927345752716064
72,3.5828709602355957
73,3.57391357421875
74,3.5650863647460938
75,3.5565433502197266
76,3.5489501953125
77,3.5397708415985107
78,3.5318920612335205
79,3.5245227813720703
80,3.517584800720215
81,3.510234832763672
82,3.50382399559021
83,3.4979360103607178
84,3.491403102874756
85,3.486013174057007
86,3.4805452823638916
87,3.4748611450195312
88,3.469942808151245
89,3.46504282951355
90,3.4593842029571533
91,3.454866409301758
92,3.450019598007202
93,3.4444420337677
94,3.4397668838500977
95,3.43658709526062
96,3.4310898780822754
97,3.4271080493927
98,3.4233062267303467
99,3.419386148452759
100,3.414865255355835
101,3.411585569381714
102,3.4077181816101074
103,3.403801441192627
104,3.401209592819214
105,3.397460699081421
106,3.3942513465881348
107,3.391871690750122
108,3.3881723880767822
109,3.385456085205078
110,3.3824644088745117
111,3.3799080848693848
112,3.377105474472046
113,3.374523639678955
114,3.371699571609497
115,3.3691601753234863
116,3.36688494682312
117,3.3644137382507324
118,3.36224102973938
119,3.360267162322998
120,3.3584749698638916
121,3.356264114379883
122,3.353874921798706
123,3.3522539138793945
124,3.3502557277679443
125,3.3483340740203857
126,3.346790075302124
127,3.3447766304016113
128,3.3433172702789307
129,3.341665267944336
130,3.340090274810791
131,3.33843994140625
132,3.3371877670288086
133,3.3359715938568115
134,3.3344461917877197
135,3.333155870437622
136,3.3318288326263428
137,3.3307321071624756
138,3.329510450363159
139,3.3281779289245605
140,3.3273983001708984
141,3.3263232707977295
142,3.325286865234375
143,3.3243677616119385
144,3.323192596435547
145,3.322526454925537
146,3.3216795921325684
147,3.320603132247925
148,3.3200337886810303
149,3.319195508956909
150,3.318380355834961
151,3.31765079498291
152,3.316760540008545
153,3.3160974979400635
154,3.315845489501953
155,3.3149428367614746
156,3.3142616748809814
157,3.31368088722229
158,3.313070297241211
159,3.3126027584075928
160,3.3119068145751953
161,3.311554431915283
162,3.3111917972564697
163,3.310447931289673
164,3.309969663619995
165,3.3095810413360596
166,3.3093032836914062
167,3.3087894916534424
