2.769	24.727
-0.289	28.009

2.769	24.727
0.09	19.829

2.769	24.727
3.21	19.411

2.769	24.727
3.946	30.141

2.769	24.727
6.329	27.486

2.769	24.727
6.649	20.687

-0.289	28.009
0.09	19.829

-0.289	28.009
-0.643	0.052

-0.289	28.009
3.946	30.141

-0.289	28.009
6.733	31.915

0.09	19.829
-0.643	0.052

0.09	19.829
3.21	19.411

0.09	19.829
0.082	11.645

0.09	19.829
0.778	17.299

-0.643	0.052
0.082	11.645

-0.643	0.052
0.821	7.831

-0.643	0.052
2.738	1.297

-0.643	0.052
6.828	-0.583

3.21	19.411
2.112	14.41

3.21	19.411
8.837	18.582

3.21	19.411
6.649	20.687

3.21	19.411
0.778	17.299

0.082	11.645
0.821	7.831

0.082	11.645
4.573	10.872

0.082	11.645
2.112	14.41

0.082	11.645
0.778	17.299

15.731	29.74
9.136	27.239

15.731	29.74
17.558	22.404

15.731	29.74
8.465	29.795

15.731	29.74
6.733	31.915

9.136	27.239
17.558	22.404

9.136	27.239
9.287	21.768

9.136	27.239
8.465	29.795

9.136	27.239
6.329	27.486

17.558	22.404
9.287	21.768

17.558	22.404
13.338	18.612

17.558	22.404
18.695	8.678

17.558	22.404
19.336	2.108

17.558	22.404
17.756	15.352

9.287	21.768
13.338	18.612

9.287	21.768
6.329	27.486

9.287	21.768
6.649	20.687

9.287	21.768
8.837	18.582

9.287	21.768
11.296	17.372

8.465	29.795
6.733	31.915

8.465	29.795
6.329	27.486

6.733	31.915
3.946	30.141

6.733	31.915
6.329	27.486

13.338	18.612
17.756	15.352

13.338	18.612
11.296	17.372

13.338	18.612
14.692	15.178

18.695	8.678
19.336	2.108

18.695	8.678
13.322	8.862

18.695	8.678
15.677	11.732

18.695	8.678
17.756	15.352

18.695	8.678
16.852	5.433

19.336	2.108
6.828	-0.583

19.336	2.108
11.462	0.463

19.336	2.108
14.7	1.604

19.336	2.108
16.852	5.433

13.322	8.862
15.677	11.732

13.322	8.862
6.185	8.202

13.322	8.862
9.267	6.793

13.322	8.862
4.573	10.872

13.322	8.862
11.296	17.372

13.322	8.862
13.067	4.177

13.322	8.862
14.692	15.178

13.322	8.862
16.852	5.433

15.677	11.732
17.756	15.352

15.677	11.732
14.692	15.178

6.185	8.202
6.172	3.84

6.185	8.202
9.267	6.793

6.185	8.202
4.573	10.872

6.185	8.202
0.821	7.831

6.172	3.84
9.267	6.793

6.172	3.84
0.821	7.831

6.172	3.84
8.823	1.83

6.172	3.84
6.828	-0.583

6.172	3.84
2.738	1.297

9.267	6.793
13.067	4.177

9.267	6.793
8.823	1.83

4.573	10.872
0.821	7.831

4.573	10.872
2.112	14.41

4.573	10.872
8.837	18.582

4.573	10.872
11.296	17.372

11.462	0.463
6.828	-0.583

11.462	0.463
14.7	1.604

11.462	0.463
13.067	4.177

11.462	0.463
8.823	1.83

6.828	-0.583
8.823	1.83

6.828	-0.583
2.738	1.297

14.7	1.604
13.067	4.177

14.7	1.604
16.852	5.433

3.946	30.141
6.329	27.486

0.821	7.831
2.738	1.297

2.112	14.41
8.837	18.582

2.112	14.41
0.778	17.299

8.837	18.582
6.649	20.687

8.837	18.582
11.296	17.372

6.329	27.486
6.649	20.687

17.756	15.352
14.692	15.178

11.296	17.372
14.692	15.178

13.067	4.177
8.823	1.83

13.067	4.177
16.852	5.433

