9.287	21.768	0.300
6.649	20.687	0.300
13.338	18.612	0.300
11.296	17.372	0.300
4.573	10.872	0.300
16.852	5.433	0.300
0.778	17.299	0.300
9.267	6.793	0.300
2.769	24.727	0.300
9.136	27.239	0.300
15.677	11.732	0.300
17.756	15.352	0.300
15.731	29.740	0.300
13.067	4.177	0.300
19.336	2.108	0.300
18.695	8.678	0.300
3.946	30.141	0.300
14.700	1.604	0.300
11.462	0.463	0.300
17.558	22.404	0.300
0.821	7.831	0.300
14.692	15.178	0.300
-0.643	0.052	0.300
8.837	18.582	0.300
3.210	19.411	0.300
6.733	31.915	0.300
0.090	19.829	0.300
13.322	8.862	0.300
6.329	27.486	0.300
2.112	14.410	0.300
8.823	1.830	0.300
6.185	8.202	0.300
8.465	29.795	0.300
6.828	-0.583	0.300
0.082	11.645	0.300
-0.289	28.009	0.300
2.738	1.297	0.300
6.172	3.840	0.300
