#x,y,th,
0.000	0.000	0.000
0.051	0.001	0.028
0.102	0.003	0.057
0.153	0.006	0.085
0.204	0.012	0.113
0.254	0.018	0.142
0.305	0.026	0.170
0.355	0.035	0.198
0.405	0.046	0.227
0.454	0.058	0.255
0.503	0.072	0.283
0.552	0.087	0.312
0.601	0.103	0.340
0.648	0.121	0.368
0.696	0.140	0.397
0.742	0.160	0.425
0.789	0.182	0.453
0.834	0.205	0.482
0.879	0.229	0.510
0.923	0.255	0.538
0.967	0.281	0.566
1.009	0.309	0.595
1.051	0.339	0.623
1.092	0.369	0.651
1.132	0.400	0.680
1.172	0.433	0.708
1.210	0.467	0.736
1.247	0.502	0.765
1.283	0.537	0.793
1.319	0.574	0.821
1.353	0.612	0.850
1.386	0.651	0.878
1.418	0.691	0.906
1.449	0.731	0.935
1.479	0.773	0.963
1.507	0.815	0.991
1.535	0.858	1.020
1.561	0.902	1.048
1.586	0.946	1.076
1.609	0.992	1.105
1.631	1.038	1.133
1.652	1.084	1.161
1.672	1.131	1.190
1.690	1.179	1.218
1.707	1.227	1.246
1.723	1.275	1.275
1.737	1.324	1.303
1.750	1.374	1.331
1.761	1.424	1.360
1.771	1.474	1.388
