#x,y,th,
0.000	0.000	0.000
0.051	0.000	0.004
0.102	0.000	0.009
0.153	0.001	0.013
0.204	0.002	0.017
0.255	0.003	0.021
0.306	0.004	0.026
0.357	0.005	0.030
0.408	0.007	0.034
0.459	0.009	0.039
0.510	0.011	0.043
0.561	0.013	0.047
0.612	0.016	0.052
0.663	0.018	0.056
0.714	0.021	0.060
0.765	0.025	0.064
0.816	0.028	0.069
0.867	0.032	0.073
0.917	0.035	0.077
0.968	0.040	0.082
1.019	0.044	0.086
1.070	0.048	0.090
1.121	0.053	0.094
1.172	0.058	0.099
1.222	0.063	0.103
1.273	0.068	0.107
1.324	0.074	0.112
1.374	0.080	0.116
1.425	0.086	0.120
1.476	0.092	0.124
1.526	0.098	0.129
1.577	0.105	0.133
1.628	0.112	0.137
1.678	0.119	0.142
1.729	0.126	0.146
1.779	0.134	0.150
1.829	0.142	0.155
1.880	0.150	0.159
1.930	0.158	0.163
1.981	0.166	0.167
2.031	0.175	0.172
2.081	0.184	0.176
2.131	0.193	0.180
2.181	0.202	0.185
2.232	0.211	0.189
2.282	0.221	0.193
2.332	0.231	0.197
2.382	0.241	0.202
2.432	0.251	0.206
2.482	0.262	0.210
