#x,y,th,
0.000	0.000	0.000
0.153	0.003	0.039
0.306	0.012	0.079
0.458	0.027	0.118
0.610	0.048	0.158
0.760	0.075	0.197
0.910	0.108	0.237
1.058	0.147	0.276
1.204	0.192	0.315
1.349	0.242	0.355
1.491	0.298	0.394
1.631	0.359	0.434
1.769	0.427	0.473
1.904	0.499	0.513
2.036	0.577	0.552
2.164	0.659	0.592
2.290	0.747	0.631
2.411	0.840	0.670
2.529	0.937	0.710
2.644	1.039	0.749
2.754	1.146	0.789
2.859	1.257	0.828
2.961	1.371	0.868
3.057	1.490	0.907
3.149	1.612	0.946
3.236	1.738	0.986
3.318	1.868	1.025
3.395	2.000	1.065
3.466	2.135	1.104
3.533	2.273	1.144
3.593	2.414	1.183
3.648	2.557	1.222
3.698	2.701	1.262
3.741	2.848	1.301
3.779	2.996	1.341
3.811	3.146	1.380
3.837	3.297	1.420
3.857	3.449	1.459
3.871	3.601	1.499
3.879	3.754	1.538
3.881	3.907	1.577
3.877	4.060	1.617
3.867	4.213	1.656
3.851	4.365	1.696
3.829	4.516	1.735
3.801	4.667	1.775
3.767	4.816	1.814
3.727	4.964	1.853
3.682	5.110	1.893
3.630	5.254	1.932
