#x,y,th,
0.000	0.000	0.000
0.153	0.001	0.013
0.306	0.004	0.026
0.459	0.009	0.039
0.612	0.016	0.052
0.765	0.025	0.064
0.917	0.035	0.077
1.070	0.048	0.090
1.222	0.063	0.103
1.374	0.080	0.116
1.526	0.098	0.129
1.678	0.119	0.142
1.829	0.142	0.155
1.981	0.166	0.167
2.131	0.193	0.180
2.282	0.221	0.193
2.432	0.251	0.206
2.581	0.284	0.219
2.731	0.318	0.232
2.879	0.354	0.245
3.028	0.392	0.258
3.175	0.432	0.270
3.322	0.474	0.283
3.469	0.517	0.296
3.615	0.563	0.309
3.761	0.611	0.322
3.906	0.660	0.335
4.050	0.711	0.348
4.193	0.764	0.361
4.336	0.819	0.373
4.478	0.876	0.386
4.620	0.934	0.399
4.761	0.995	0.412
4.900	1.057	0.425
5.039	1.121	0.438
5.178	1.187	0.451
5.315	1.254	0.464
5.451	1.324	0.476
5.587	1.395	0.489
5.722	1.468	0.502
5.855	1.542	0.515
5.988	1.618	0.528
6.120	1.696	0.541
6.250	1.776	0.554
6.380	1.857	0.567
6.509	1.940	0.579
6.636	2.025	0.592
6.763	2.111	0.605
6.888	2.199	0.618
7.012	2.289	0.631
