#x,y,th,
0.000	0.000	0.000
0.102	0.000	0.009
0.204	0.002	0.017
0.306	0.004	0.026
0.408	0.007	0.034
0.510	0.011	0.043
0.612	0.016	0.052
0.714	0.021	0.060
0.816	0.028	0.069
0.917	0.035	0.077
1.019	0.044	0.086
1.121	0.053	0.094
1.222	0.063	0.103
1.324	0.074	0.112
1.425	0.086	0.120
1.526	0.098	0.129
1.628	0.112	0.137
1.729	0.126	0.146
1.829	0.142	0.155
1.930	0.158	0.163
2.031	0.175	0.172
2.131	0.193	0.180
2.232	0.211	0.189
2.332	0.231	0.197
2.432	0.251	0.206
2.531	0.273	0.215
2.631	0.295	0.223
2.731	0.318	0.232
2.830	0.342	0.240
2.929	0.366	0.249
3.028	0.392	0.258
3.126	0.418	0.266
3.224	0.446	0.275
3.322	0.474	0.283
3.420	0.503	0.292
3.518	0.532	0.300
3.615	0.563	0.309
3.712	0.595	0.318
3.809	0.627	0.326
3.906	0.660	0.335
4.002	0.694	0.343
4.098	0.729	0.352
4.193	0.764	0.361
4.289	0.801	0.369
4.384	0.838	0.378
4.478	0.876	0.386
4.573	0.915	0.395
4.667	0.954	0.403
4.761	0.995	0.412
4.854	1.036	0.421
