#x,y,th,
0.000	0.000	0.000
0.051	0.000	0.013
0.102	0.001	0.026
0.153	0.003	0.039
0.204	0.005	0.053
0.255	0.008	0.066
0.306	0.012	0.079
0.357	0.016	0.092
0.407	0.021	0.105
0.458	0.027	0.118
0.509	0.033	0.131
0.559	0.041	0.145
0.610	0.048	0.158
0.660	0.057	0.171
0.710	0.066	0.184
0.760	0.075	0.197
0.810	0.086	0.210
0.860	0.097	0.223
0.910	0.108	0.237
0.959	0.120	0.250
1.009	0.133	0.263
1.058	0.147	0.276
1.107	0.161	0.289
1.156	0.176	0.302
1.204	0.192	0.315
1.253	0.208	0.329
1.301	0.224	0.342
1.349	0.242	0.355
1.397	0.260	0.368
1.444	0.279	0.381
1.491	0.298	0.394
1.538	0.318	0.407
1.585	0.338	0.421
1.631	0.359	0.434
1.678	0.381	0.447
1.723	0.404	0.460
1.769	0.427	0.473
1.814	0.450	0.486
1.859	0.474	0.500
1.904	0.499	0.513
1.948	0.524	0.526
1.992	0.550	0.539
2.036	0.577	0.552
2.079	0.604	0.565
2.122	0.631	0.578
2.164	0.659	0.592
2.207	0.688	0.605
2.248	0.717	0.618
2.290	0.747	0.631
2.331	0.778	0.644
